Year,Date,Month,AQI
2022,25,Apr,111.0
2022,26,Apr,105.0
2022,27,Apr,103.0
2022,28,Apr,105.0
2022,29,Apr,108.0
2022,30,Apr,102.0
2022,31,Apr,109
2022,01,May,107.0
2022,02,May,102.0
2022,03,May,110
2022,04,May,110
2022,05,May,107.0
2022,06,May,109.0
2022,07,May,111.0
2022,08,May,109.0
2022,09,May,112.0
2022,10,May,114.0
2022,11,May,110
2022,12,May,108.0
2022,13,May,103.0
2022,14,May,105.0
2022,15,May,103.0
2022,16,May,99.0
2022,17,May,89.0
2022,18,May,110
2022,19,May,154.0
2022,20,May,125.0
2022,21,May,110
2022,22,May,110
2022,23,May,110
2022,24,May,110
2022,25,May,110
2022,26,May,110
2022,27,May,110
2022,28,May,110
2022,29,May,110
2022,30,May,110
2022,31,May,110
2022,01,Jun,88.0
2022,02,Jun,93.0
2022,03,Jun,84.0
2022,04,Jun,91.0
2022,05,Jun,87
2022,06,Jun,87
2022,07,Jun,145.0
2022,08,Jun,173.0
2022,09,Jun,88.0
2022,10,Jun,87
2022,11,Jun,58.0
2022,12,Jun,38.0
2022,13,Jun,73.0
2022,14,Jun,52.0
2022,15,Jun,43.0
2022,16,Jun,87
2022,17,Jun,90.0
2022,18,Jun,94.0
2022,19,Jun,91.0
2022,20,Jun,83.0
2022,21,Jun,86.0
2022,22,Jun,95.0
2022,23,Jun,87
2022,24,Jun,87
2022,25,Jun,87
2022,26,Jun,87
2022,27,Jun,87
2022,28,Jun,87
2022,29,Jun,87
2022,30,Jun,87
2022,31,Jun,87
2022,01,Jul,54
2022,02,Jul,54
2022,03,Jul,54
2022,04,Jul,54
2022,05,Jul,54
2022,06,Jul,54
2022,07,Jul,54
2022,08,Jul,54
2022,09,Jul,54
2022,10,Jul,54
2022,11,Jul,54
2022,12,Jul,54
2022,13,Jul,54
2022,14,Jul,54
2022,15,Jul,54
2022,16,Jul,54
2022,17,Jul,35.0
2022,18,Jul,95.0
2022,19,Jul,40.0
2022,20,Jul,40.0
2022,21,Jul,64.0
2022,22,Jul,53.0
2022,23,Jul,70.0
2022,24,Jul,65.0
2022,25,Jul,59.0
2022,26,Jul,35.0
2022,27,Jul,50.0
2022,28,Jul,50.0
2022,29,Jul,50.0
2022,30,Jul,50.0
2022,31,Jul,50.0
2022,01,Aug,50.0
2022,02,Aug,50.0
2022,03,Aug,50.0
2022,04,Aug,50.0
2022,05,Aug,50.0
2022,06,Aug,51.0
2022,07,Aug,50.0
2022,08,Aug,50.0
2022,09,Aug,50.0
2022,10,Aug,50.0
2022,11,Aug,50.0
2022,12,Aug,50.0
2022,13,Aug,50.0
